coding_block,occ1990dd,census_code,employed_thousands
2011_2019,169,1830,5.465402908333334
2011_2019,169,1860,472.07936820000003
2011_2019,173,1840,247.33541704166663
2011_2019,174,2010,7052.214163308333
2011_2019,176,2040,3815.186656025
2011_2019,176,2050,613.6507098916666
2011_2019,176,2060,674.9989218999999
2011_2019,177,2015,887.7657882083332
2011_2019,177,2016,1651.1187664
2011_2019,177,2025,829.1860445833331
2011_2019,178,2100,10840.741647824998
2011_2019,178,2105,108.84036294166667
2011_2019,183,2850,1978.1272216333332
2011_2019,184,2840,586.6772526166666
2011_2019,185,2630,7806.480764283333
2011_2019,186,2750,1782.4092064833335
2011_2019,187,2700,368.57466980833334
2011_2019,187,2710,1493.4630626166665
2011_2019,188,2600,1967.4847996916667
2011_2019,189,2910,1680.5384321083336
2011_2019,193,2740,183.28251280833334
2011_2019,194,2760,434.5495449416666
2011_2019,194,2860,898.8530223416667
2011_2019,195,2810,719.0648001583332
2011_2019,195,2830,1448.6034777416667
2011_2019,195,2920,604.9188993749999
2011_2019,198,2800,490.6229729666667
2011_2019,199,2720,2799.6610357833333
2011_2019,199,7520,0.8118330333333333
2011_2019,203,3300,2985.844154258333
2011_2019,204,3310,1574.4177673333336
2011_2019,205,3510,1341.20917875
2011_2019,206,3320,3046.5685732750003
2011_2019,207,3500,5604.267679483333
2011_2019,208,3400,1825.1914382000002
2011_2019,208,3535,1251.9327944083332
2011_2019,208,3540,1016.425633875
2011_2019,214,1550,3607.703862583334
2011_2019,214,1950,3.3880248749999997
2011_2019,214,1965,1480.2898151666668
2011_2019,217,1540,1184.8549827416668
2011_2019,218,1310,385.2466347083333
2011_2019,218,1560,622.3415974
2011_2019,223,1900,271.8067524
2011_2019,223,1910,186.66212148333332
2011_2019,224,1920,618.0609605833333
2011_2019,225,1930,156.31994701666665
2011_2019,226,9030,1181.4765110083333
2011_2019,227,9040,308.93481019166666
2011_2019,228,2900,1026.9772861166666
2011_2019,228,2960,3.6323093333333336
2011_2019,229,1010,4291.931111733334
2011_2019,233,7900,785.0374328583333
2011_2019,234,2145,3800.6920322916676
2011_2019,234,2160,1755.2378649166665
2011_2019,235,1940,4.090620041666666
2011_2019,243,4700,29417.450641616666
2011_2019,243,4710,10792.796426366669
2011_2019,253,4810,5332.815675433333
2011_2019,254,810,789.8613845416667
2011_2019,254,4920,8288.190593541667
2011_2019,255,4820,2327.324637675
2011_2019,256,4800,2029.6893835
2011_2019,258,4930,324.83837645000006
2011_2019,275,726,775.88519625
2011_2019,275,4740,1030.2650205083332
2011_2019,275,4750,1069.602845675
2011_2019,275,4760,29420.65820876667
2011_2019,275,4840,4469.538533191667
2011_2019,275,4850,11631.998624425
2011_2019,275,4940,659.7635656000001
2011_2019,275,4965,2272.0257293416666
2011_2019,276,4720,29381.95142884167
2011_2019,276,5130,102.33743817499999
2011_2019,277,4950,1545.2315584666665
2011_2019,283,4900,602.8731338833333
2011_2019,303,5000,12590.472113083333
2011_2019,308,5800,789.208360275
2011_2019,313,5700,25417.7881762
2011_2019,315,5820,864.1375885666666
2011_2019,315,5830,2.7729837083333333
2011_2019,316,5230,419.159463825
2011_2019,316,5310,1325.8533593833336
2011_2019,316,5340,238.91007878333335
2011_2019,317,5300,1148.6189119666667
2011_2019,318,4830,725.7366887416666
2011_2019,318,5410,1058.3051623583333
2011_2019,319,5400,11629.984605966667
2011_2019,326,5210,14.208346474999999
2011_2019,326,5350,951.7507886333333
2011_2019,328,5360,671.4937003083334
2011_2019,329,2440,334.4777118916666
2011_2019,329,5320,872.7622200999999
2011_2019,335,5260,2021.9885092000004
2011_2019,336,5200,43.88311440833333
2011_2019,336,5420,999.3533082333333
2011_2019,337,5120,10551.852310208335
2011_2019,338,5140,1300.903939691667
2011_2019,344,5110,4309.638186941666
